timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1612278790649,13,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,13,0,0
1612278790646,18,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,18,0,0
1612278790653,17,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,13,0,0
1612278790663,12,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,12,0,0
1612278790654,21,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,20,0,0
1612278790665,18,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,17,0,0
1612278790652,31,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,30,0,0
1612278790675,16,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,16,0,0
1612278790683,11,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,11,0,0
1612278790676,18,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,17,0,0
1612278790671,24,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,23,0,0
1612278790694,12,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,12,0,0
1612278790694,13,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,12,0,0
1612278790684,23,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,23,0,0
1612278790692,18,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,17,0,0
1612278790696,22,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,21,0,0
1612278790708,12,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,11,0,0
1612278790707,14,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,14,0,0
1612278790710,12,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,12,0,0
1612278790722,10,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,10,0,0
1612278790708,24,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,24,0,0
1612278790723,12,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,9,0,0
1612278790719,18,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,17,0,0
1612278790720,17,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,16,0,0
1612278790732,12,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,11,0,0
1612278790732,12,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,12,0,0
1612278790738,12,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,11,0,0
1612278790737,15,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,14,0,0
1612278790744,12,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,12,0,0
1612278790752,13,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,13,0,0
1612278790751,14,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,14,0,0
1612278790757,12,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,12,0,0
1612278790744,27,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,15,0,0
1612278790766,10,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,10,0,0
1612278790771,10,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,9,0,0
1612278790770,12,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,12,0,0
1612278790735,50,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,50,0,0
1612278790766,24,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,24,0,0
1612278790777,13,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,13,0,0
1612278790783,12,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,12,0,0
1612278790781,20,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,15,0,0
1612278790790,14,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,14,0,0
1612278790786,21,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,20,0,0
1612278790795,15,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,14,0,0
1612278790804,10,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,10,0,0
1612278790801,14,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,13,0,0
1612278790791,28,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,27,0,0
1612278790811,14,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,13,0,0
1612278790808,19,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,19,0,0
1612278790815,18,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,18,0,0
1612278790815,21,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,20,0,0
1612278790825,13,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,13,0,0
1612278790828,12,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,11,0,0
1612278790833,11,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,11,0,0
1612278790836,12,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,11,0,0
1612278790838,11,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,10,0,0
1612278790820,35,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,35,0,0
1612278790848,11,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,10,0,0
1612278790845,18,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,15,0,0
1612278790859,9,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,9,0,0
1612278790851,18,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,17,0,0
1612278790841,32,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,32,0,0
1612278790864,12,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,11,0,0
1612278790856,29,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,29,0,0
1612278790869,16,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,16,0,0
1612278790870,15,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,15,0,0
1612278790874,12,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,11,0,0
1612278790877,18,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,17,0,0
1612278790885,14,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,14,0,0
1612278790886,18,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,16,0,0
1612278790886,19,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,19,0,0
1612278790886,20,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,17,0,0
1612278790900,10,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,10,0,0
1612278790895,19,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,18,0,0
1612278790906,12,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,12,0,0
1612278790905,17,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,16,0,0
1612278790911,14,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,14,0,0
1612278790915,17,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,16,0,0
1612278790919,14,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,14,0,0
1612278790907,27,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,21,0,0
1612278790924,11,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,10,0,0
1612278790926,13,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,13,0,0
1612278790935,10,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,9,0,0
1612278790935,10,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,10,0,0
1612278790934,13,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,13,0,0
1612278790940,15,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,15,0,0
1612278790946,9,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,9,0,0
1612278790945,16,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,16,0,0
1612278790948,14,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,14,0,0
1612278790956,10,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,10,0,0
1612278790956,11,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,11,0,0
1612278790933,35,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,31,0,0
1612278790961,11,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,11,0,0
1612278790963,15,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,15,0,0
1612278790968,11,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,11,0,0
1612278790967,15,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,12,0,0
1612278790968,16,HTTP Request,200,,Thread Group 1-1,text,true,,2508,124,5,5,14,0,0
1612278790973,11,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,11,0,0
1612278790980,13,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,12,0,0
1612278790982,11,HTTP Request,200,,Thread Group 1-4,text,true,,2508,124,5,5,10,0,0
1612278790978,16,HTTP Request,200,,Thread Group 1-3,text,true,,2508,124,5,5,15,0,0
1612278790985,16,HTTP Request,200,,Thread Group 1-2,text,true,,2508,124,5,5,15,0,0
1612278790993,12,HTTP Request,200,,Thread Group 1-5,text,true,,2508,124,5,5,11,0,0
